,Humidity,Temperature (C),IsBiodegradable
83,0.84,7.56666666666667,1
84,0.77,8.9,1
85,0.71,9.961111111111109,1
86,0.71,9.888888888888891,1
87,0.71,11.066666666666698,1
88,0.76,10.1166666666667,1
89,0.66,11.0388888888889,1
90,0.7,10.65,1
91,0.7,10.05,1
92,0.66,9.9,1
93,0.71,8.79444444444444,1
94,0.72,7.82777777777778,1
95,0.72,7.85555555555556,1
96,0.75,7.31666666666667,1
97,0.75,7.244444444444441,1
98,0.88,5.43888888888889,1
99,0.76,7.2,1
100,0.7,6.68888888888889,1
101,0.73,6.21111111111111,1
102,0.76,6.111111111111111,1
103,0.76,6.111111111111111,1
104,0.76,6.17222222222222,1
105,0.71,7.22222222222222,1
106,0.73,7.28888888888889,1
107,0.72,7.405555555555559,1
108,0.7,7.96111111111111,1
109,0.7,8.03333333333334,1
110,0.65,9.07777777777778,1
111,0.62,9.05,0
112,0.65,9.05,1
113,0.65,9.18333333333333,1
114,0.7,9.072222222222221,1
115,0.75,7.98333333333333,1
116,0.75,8.07222222222222,1
117,0.82,7.89444444444445,1
118,0.83,7.31111111111111,1
119,0.84,7.3388888888888895,1
120,0.85,6.62222222222222,1
121,0.88,6.06666666666667,1
122,0.88,8.33888888888889,1
123,0.91,5.18333333333333,1
124,0.94,3.72222222222222,1
125,0.93,4.85555555555556,1
126,0.92,5.21111111111111,1
127,0.92,6.25555555555555,1
128,0.87,7.7944444444444505,1
129,0.76,10.05,1
130,0.66,12.2,1
131,0.63,12.7,0
132,0.58,13.933333333333302,0
133,0.59,15.0944444444444,0
134,0.5,15.15,0
135,0.44,16.177777777777802,0
136,0.55,16.25,0
137,0.5,16.2944444444444,0
138,0.56,16.1,0
139,0.68,12.955555555555598,1
140,0.64,13.85,0
141,0.69,12.7777777777778,1
142,0.72,12.15,1
143,0.81,10.6777777777778,1
144,0.83,10.4444444444444,1
145,0.8,9.822222222222221,1
146,0.74,11.0277777777778,1
147,0.93,7.138888888888889,1
148,0.89,7.62222222222222,1
149,0.86,7.62777777777778,1
150,0.86,7.044444444444441,1
151,0.84,8.6,1
152,0.84,9.65,1
153,0.72,12.105555555555599,1
154,0.71,12.7777777777778,1
155,0.65,13.8111111111111,1
156,0.48,16.016666666666698,0
157,0.47,17.1277777777778,0
158,0.43,17.1444444444444,0
159,0.4,17.7777777777778,0
160,0.37,17.7777777777778,0
161,0.43,17.8055555555556,0
162,0.52,16.155555555555598,0
163,0.63,14.05,0
164,0.67,13.088888888888901,1
165,0.72,12.2888888888889,1
166,0.66,12.7777777777778,1
167,0.67,12.727777777777801,1
168,0.69,12.266666666666698,1
169,0.71,11.7111111111111,1
170,0.86,10.8277777777778,1
171,0.59,12.2,0
172,0.6,12.2,0
173,0.68,11.6888888888889,1
174,0.77,11.205555555555598,1
175,0.77,11.1333333333333,1
176,0.77,11.4388888888889,1
177,0.81,13.033333333333301,1
178,0.62,17.2444444444444,0
179,0.53,17.738888888888898,0
180,0.56,17.8444444444445,0
181,0.56,18.861111111111104,0
182,0.56,18.6666666666667,0
183,0.56,17.822222222222198,0
184,0.59,17.8,0
185,0.57,17.35,0
186,0.67,16.0666666666667,0
187,0.73,14.933333333333302,1
188,0.78,13.9222222222222,1
189,0.84,12.755555555555599,1
190,0.84,12.755555555555599,1
191,0.86,12.372222222222199,1
192,0.93,11.183333333333302,1
193,0.9,11.666666666666698,1
194,0.95,8.97777777777778,1
195,0.93,10.5777777777778,1
196,0.89,10.5333333333333,1
197,0.87,10.588888888888901,1
198,0.89,9.98333333333333,1
199,0.86,11.022222222222199,1
200,0.75,13.5388888888889,1
201,0.68,13.8888888888889,1
202,0.67,15.0,1
203,0.57,17.1833333333333,0
204,0.62,16.2,0
205,0.56,17.75,0
206,0.54,18.4055555555556,0
207,0.59,17.822222222222198,0
208,0.57,17.3111111111111,0
209,0.55,17.5055555555556,0
210,0.54,17.266666666666698,0
211,0.61,15.1388888888889,0
212,0.69,13.25,1
213,0.72,12.294444444444402,1
214,0.79,10.7,1
215,0.85,9.855555555555561,1
216,0.88,9.52222222222222,1
217,0.92,8.405555555555559,1
218,0.82,13.0111111111111,1
219,0.96,7.73333333333333,1
220,0.96,6.138888888888889,1
221,0.95,6.47222222222222,1
222,0.96,6.62777777777778,1
223,0.93,8.68888888888889,1
224,0.81,11.994444444444401,1
225,0.78,13.766666666666698,1
226,0.77,15.088888888888901,1
227,0.68,16.4555555555556,0
228,0.62,17.3111111111111,0
229,0.64,17.8722222222222,0
230,0.47,19.0388888888889,0
231,0.51,18.9777777777778,0
232,0.55,19.0055555555555,0
233,0.53,19.011111111111102,0
234,0.64,17.8666666666667,0
235,0.62,17.266666666666698,0
236,0.61,16.1888888888889,0
237,0.72,14.8833333333333,1
238,0.75,14.3277777777778,1
239,0.75,14.5111111111111,1
240,0.75,14.372222222222199,1
241,0.72,14.877777777777801,1
242,0.92,10.4055555555556,1
243,0.83,12.8222222222222,1
244,0.85,12.8,1
245,0.86,12.8277777777778,1
246,0.85,12.266666666666698,1
247,0.85,12.266666666666698,1
248,0.82,12.183333333333302,1
249,0.8,12.1722222222222,1
250,0.83,12.7111111111111,1
